"R","G","B","Lightness","Saturation","Hue","y"
211,229,219,"pale","subdued",25,1.09861228866811
242,237,215,"pale","subdued",15,1.65822807660353
244,240,210,"pale","subdued",17,1.73460105538811
241,226,222,"pale","subdued",6,1.3249254147436
225,232,219,"pale","subdued",23,1.3249254147436
221,231,223,"pale","subdued",24,1.26566637333128
234,223,210,"pale","subdued",9,1.04596855518269
227,232,217,"pale","subdued",22,1.26566637333128
234,236,211,"pale","subdued",19,1.450010175506
232,218,214,"pale","subdued",4,0.944461608840851
236,219,210,"pale","subdued",8,0.994622575144062
226,227,235,"pale","subdued",34,1.20831120592453
220,140,89,"saturated","bright",10,-0.708185057924486
246,215,110,"saturated","bright",17,0.663294217410264
174,197,113,"saturated","bright",21,-0.0800427076735365
237,184,86,"saturated","bright",15,0
223,172,89,"saturated","bright",14,-0.281851152140988
207,141,108,"saturated","bright",8,-0.75377180237638
190,206,97,"saturated","bright",20,0.120144311842063
84,136,192,"saturated","bright",32,-1.09861228866811
60,133,190,"saturated","bright",31,-1.20831120592453
62,143,188,"saturated","bright",30,-1.04596855518269
236,190,99,"saturated","bright",16,0.120144311842063
226,172,120,"saturated","bright",12,-0.241162056816888
219,128,121,"saturated","bright",5,-0.800119300112113
190,183,85,"saturated","bright",19,-0.241162056816888
104,176,130,"saturated","bright",23,-0.619039208406224
204,148,190,"saturated","bright",36,-0.447312218043665
82,167,134,"saturated","bright",24,-0.800119300112113
209,118,140,"saturated","bright",2,-0.895384047054841
167,157,141,"saturated","gray",13,-0.663294217410264
130,131,136,"saturated","gray",33,-1.20831120592453
166,151,138,"saturated","gray",6,-0.75377180237638
123,133,136,"saturated","gray",30,-1.20831120592453
147,159,169,"saturated","gray",32,-0.663294217410264
137,146,138,"saturated","gray",21,-0.944461608840851
145,133,124,"saturated","gray",5,-1.15267950993839
143,140,121,"saturated","gray",16,-1.04596855518269
160,146,139,"saturated","gray",3,-0.895384047054841
132,132,111,"saturated","gray",19,-1.26566637333128
155,142,142,"saturated","gray",1,-0.994622575144062
143,135,107,"saturated","gray",15,-1.15267950993839
94,151,169,"saturated","muted",29,-0.944461608840851
208,171,112,"saturated","muted",15,-0.322773392263051
201,163,117,"saturated","muted",12,-0.489548225318706
202,124,116,"saturated","muted",4,-0.994622575144062
175,193,149,"saturated","muted",22,-0.0400053346136992
210,173,135,"saturated","muted",11,-0.241162056816888
221,151,137,"saturated","muted",5,-0.447312218043665
200,155,117,"saturated","muted",10,-0.575364144903562
180,183,128,"saturated","muted",21,-0.241162056816888
86,146,178,"saturated","muted",30,-0.994622575144062
173,184,100,"saturated","muted",20,-0.281851152140988
221,192,115,"saturated","muted",17,0.0800427076735366
192,114,129,"saturated","muted",2,-1.09861228866811
209,144,124,"saturated","muted",6,-0.663294217410264
199,160,108,"saturated","muted",13,-0.532216813747308
194,114,119,"saturated","muted",3,-1.09861228866811
194,139,161,"saturated","muted",1,-0.75377180237638
129,141,179,"saturated","muted",33,-0.944461608840851
172,154,126,"saturated","neutral",13,-0.75377180237638
142,167,185,"saturated","neutral",31,-0.489548225318706
130,144,166,"saturated","neutral",32,-0.944461608840851
147,154,137,"saturated","neutral",23,-0.847297860387204
152,129,113,"saturated","neutral",9,-1.15267950993839
144,147,115,"saturated","neutral",20,-0.994622575144062
172,152,119,"saturated","neutral",16,-0.75377180237638
139,141,152,"saturated","neutral",34,-0.994622575144062
129,135,111,"saturated","neutral",22,-1.20831120592453
146,138,152,"saturated","neutral",36,-1.04596855518269
159,144,110,"saturated","neutral",17,-0.994622575144062
164,148,145,"saturated","neutral",4,-0.800119300112113
171,155,156,"saturated","neutral",2,-0.663294217410264
144,144,162,"saturated","neutral",35,-0.944461608840851
162,147,113,"saturated","neutral",18,-0.895384047054841
170,136,128,"saturated","neutral",5,-0.994622575144062
175,154,115,"saturated","neutral",15,-0.708185057924486
112,203,206,"saturated","pure",27,0.0800427076735366
89,185,204,"saturated","pure",28,-0.281851152140988
255,217,120,"saturated","pure",14,0.847297860387203
51,152,206,"saturated","pure",30,-0.847297860387204
248,235,151,"saturated","pure",17,1.26566637333128
250,172,114,"saturated","pure",10,-0.0400053346136992
249,164,142,"saturated","pure",6,-0.120144311842063
253,215,146,"saturated","pure",13,0.800119300112113
234,144,115,"saturated","pure",7,-0.532216813747308
180,138,194,"saturated","pure",35,-0.708185057924486
242,163,125,"saturated","pure",8,-0.200670695462151
191,229,177,"saturated","pure",22,0.75377180237638
208,231,152,"saturated","pure",20,0.895384047054841
193,224,137,"saturated","pure",21,0.575364144903562
29,179,148,"saturated","pure",25,-0.619039208406224
236,230,120,"saturated","pure",18,0.944461608840851
207,219,141,"saturated","pure",19,0.575364144903562
146,213,153,"saturated","pure",23,0.200670695462151
184,158,120,"saturated","shaded",12,-0.663294217410264
122,153,156,"saturated","shaded",28,-0.895384047054841
108,128,150,"saturated","shaded",32,-1.3249254147436
170,143,122,"saturated","shaded",10,-0.847297860387204
90,128,158,"saturated","shaded",31,-1.3249254147436
142,155,136,"saturated","shaded",23,-0.800119300112113
124,151,147,"saturated","shaded",27,-0.944461608840851
157,162,134,"saturated","shaded",22,-0.619039208406224
109,145,133,"saturated","shaded",25,-1.09861228866811
137,140,163,"saturated","shaded",34,-0.994622575144062
130,159,150,"saturated","shaded",24,-0.800119300112113
176,165,130,"saturated","shaded",18,-0.575364144903562
184,153,107,"saturated","shaded",14,-0.663294217410264
180,149,164,"saturated","shaded",1,-0.663294217410264
169,118,115,"saturated","shaded",4,-1.26566637333128
173,125,118,"saturated","shaded",5,-1.09861228866811
168,148,107,"saturated","shaded",15,-0.847297860387204
174,153,107,"saturated","shaded",17,-0.708185057924486
194,163,119,"saturated","subdued",13,-0.489548225318706
99,132,150,"saturated","subdued",29,-1.26566637333128
112,142,149,"saturated","subdued",28,-1.09861228866811
177,113,90,"saturated","subdued",8,-1.3249254147436
157,160,115,"saturated","subdued",21,-0.75377180237638
145,175,136,"saturated","subdued",23,-0.532216813747308
186,143,104,"saturated","subdued",11,-0.847297860387204
93,132,177,"saturated","subdued",32,-1.20831120592453
122,150,130,"saturated","subdued",24,-0.994622575144062
193,168,124,"saturated","subdued",15,-0.447312218043665
160,166,103,"saturated","subdued",20,-0.619039208406224
201,147,135,"saturated","subdued",6,-0.619039208406224
193,137,120,"saturated","subdued",7,-0.895384047054841
181,119,112,"saturated","subdued",4,-1.15267950993839
207,185,137,"saturated","subdued",16,-0.0800427076735365
209,184,113,"saturated","subdued",17,-0.120144311842063
142,144,180,"saturated","subdued",34,-0.847297860387204
175,142,165,"saturated","subdued",36,-0.800119300112113
243,223,182,"soft","bright",14,0.994622575144062
245,222,174,"soft","bright",15,0.944461608840851
191,223,223,"soft","bright",27,0.800119300112113
247,234,185,"soft","bright",17,1.3249254147436
163,188,219,"soft","bright",32,0
196,221,226,"soft","bright",28,0.847297860387203
242,198,167,"soft","bright",10,0.447312218043665
240,231,169,"soft","bright",18,1.15267950993839
239,205,180,"soft","bright",11,0.575364144903562
225,221,142,"soft","bright",19,0.75377180237638
236,191,201,"soft","bright",2,0.363965377201411
239,196,187,"soft","bright",6,0.447312218043665
219,215,228,"soft","bright",34,0.800119300112113
162,212,189,"soft","bright",24,0.322773392263051
243,200,194,"soft","bright",5,0.532216813747308
237,199,182,"soft","bright",8,0.447312218043665
242,193,192,"soft","bright",4,0.405465108108164
232,210,227,"soft","bright",36,0.800119300112113
209,204,194,"soft","gray",14,0.405465108108164
188,183,173,"soft","gray",10,-0.0800427076735365
189,176,160,"soft","gray",7,-0.200670695462151
206,193,181,"soft","gray",6,0.120144311842063
195,199,189,"soft","gray",21,0.241162056816888
160,183,186,"soft","gray",28,-0.160342650075179
165,178,183,"soft","gray",29,-0.241162056816888
216,222,227,"soft","gray",32,0.944461608840851
177,183,161,"soft","gray",20,-0.160342650075179
224,221,221,"soft","gray",1,0.994622575144062
166,168,151,"soft","gray",19,-0.489548225318706
174,171,154,"soft","gray",18,-0.405465108108164
188,219,219,"soft","muted",27,0.847297860387203
180,208,217,"soft","muted",29,0.405465108108164
231,210,173,"soft","muted",14,0.619039208406224
239,215,179,"soft","muted",13,0.800119300112113
229,195,130,"soft","muted",16,0.241162056816888
211,208,221,"soft","muted",34,0.575364144903562
237,225,168,"soft","muted",17,0.895384047054841
212,224,146,"soft","muted",20,0.75377180237638
216,230,203,"soft","muted",22,1.04596855518269
161,205,191,"soft","muted",25,0.200670695462151
200,223,195,"soft","muted",23,0.75377180237638
231,195,172,"soft","muted",9,0.322773392263051
225,185,194,"soft","muted",2,0.160342650075179
203,208,221,"soft","muted",33,0.532216813747308
242,209,196,"soft","muted",6,0.708185057924486
229,207,222,"soft","muted",36,0.663294217410264
210,200,128,"soft","muted",19,0.241162056816888
230,193,187,"soft","muted",4,0.322773392263051
218,207,186,"soft","neutral",13,0.447312218043665
220,204,180,"soft","neutral",12,0.447312218043665
222,207,179,"soft","neutral",14,0.489548225318706
196,174,150,"soft","neutral",10,-0.241162056816888
227,206,184,"soft","neutral",11,0.532216813747308
200,202,181,"soft","neutral",20,0.281851152140987
222,223,226,"soft","neutral",34,1.04596855518269
197,193,163,"soft","neutral",19,0.0400053346136992
213,225,224,"soft","neutral",28,0.994622575144062
213,227,222,"soft","neutral",26,0.994622575144062
227,209,200,"soft","neutral",7,0.663294217410264
190,179,148,"soft","neutral",18,-0.200670695462151
214,229,226,"soft","neutral",27,1.15267950993839
214,196,193,"soft","neutral",2,0.322773392263051
205,220,227,"soft","neutral",30,0.895384047054841
220,199,192,"soft","neutral",6,0.405465108108164
222,202,197,"soft","neutral",5,0.447312218043665
216,194,202,"soft","neutral",1,0.322773392263051
174,215,234,"soft","pure",29,0.619039208406224
195,231,232,"soft","pure",27,1.09861228866811
155,199,234,"soft","pure",31,0.200670695462151
249,236,182,"soft","pure",15,1.450010175506
244,200,213,"soft","pure",1,0.619039208406224
249,231,191,"soft","pure",12,1.3249254147436
171,202,234,"soft","pure",32,0.363965377201411
247,236,202,"soft","pure",14,1.51634748936809
246,216,190,"soft","pure",10,0.895384047054841
245,179,188,"soft","pure",2,0.200670695462151
244,222,191,"soft","pure",11,1.04596855518269
205,234,205,"soft","pure",23,1.09861228866811
227,223,236,"soft","pure",34,1.09861228866811
247,194,191,"soft","pure",4,0.447312218043665
246,181,182,"soft","pure",3,0.200670695462151
233,237,189,"soft","pure",18,1.3249254147436
228,239,222,"soft","pure",22,1.58562726374038
247,223,215,"soft","pure",6,1.15267950993839
215,224,226,"soft","shaded",29,0.994622575144062
190,207,205,"soft","shaded",27,0.532216813747308
218,203,191,"soft","shaded",9,0.447312218043665
220,202,168,"soft","shaded",13,0.363965377201411
216,203,173,"soft","shaded",16,0.363965377201411
175,199,191,"soft","shaded",25,0.120144311842063
208,204,169,"soft","shaded",19,0.322773392263051
182,195,209,"soft","shaded",32,0.160342650075179
205,212,198,"soft","shaded",23,0.619039208406224
202,218,218,"soft","shaded",28,0.75377180237638
221,221,204,"soft","shaded",22,0.895384047054841
219,220,196,"soft","shaded",20,0.847297860387203
213,191,180,"soft","shaded",8,0.120144311842063
220,236,231,"soft","shaded",24,1.450010175506
226,201,206,"soft","shaded",2,0.532216813747308
227,203,192,"soft","shaded",6,0.532216813747308
219,204,211,"soft","shaded",1,0.532216813747308
227,206,198,"soft","shaded",7,0.575364144903562
229,211,185,"soft","subdued",13,0.619039208406224
194,211,214,"soft","subdued",28,0.532216813747308
168,192,206,"soft","subdued",29,0.0400053346136992
216,182,145,"soft","subdued",11,-0.0400053346136992
234,216,193,"soft","subdued",12,0.75377180237638
219,184,129,"soft","subdued",14,0
231,213,173,"soft","subdued",16,0.663294217410264
208,198,161,"soft","subdued",18,0.160342650075179
174,208,201,"soft","subdued",26,0.322773392263051
189,208,195,"soft","subdued",24,0.363965377201411
231,202,195,"soft","subdued",5,0.489548225318706
217,188,183,"soft","subdued",4,0.120144311842063
199,204,216,"soft","subdued",33,0.405465108108164
214,184,189,"soft","subdued",2,0.0800427076735366
226,199,182,"soft","subdued",9,0.405465108108164
241,211,202,"soft","subdued",7,0.800119300112113
227,208,213,"soft","subdued",1,0.663294217410264
233,207,200,"soft","subdued",6,0.619039208406224
