"R","G","B","Lightness","Saturation","Hue","outcome"
89,185,204,"saturated","pure",28,"event"
255,217,120,"saturated","pure",14,"event"
51,152,206,"saturated","pure",30,"event"
248,235,151,"saturated","pure",17,"non_event"
250,172,114,"saturated","pure",10,"non_event"
249,164,142,"saturated","pure",6,"non_event"
253,215,146,"saturated","pure",13,"non_event"
234,144,115,"saturated","pure",7,"non_event"
180,138,194,"saturated","pure",35,"non_event"
242,163,125,"saturated","pure",8,"non_event"
191,229,177,"saturated","pure",22,"non_event"
208,231,152,"saturated","pure",20,"non_event"
193,224,137,"saturated","pure",21,"non_event"
29,179,148,"saturated","pure",25,"non_event"
236,230,120,"saturated","pure",18,"non_event"
207,219,141,"saturated","pure",19,"non_event"
146,213,153,"saturated","pure",23,"non_event"
184,158,120,"saturated","shaded",12,"event"
122,153,156,"saturated","shaded",28,"event"
108,128,150,"saturated","shaded",32,"event"
170,143,122,"saturated","shaded",10,"non_event"
90,128,158,"saturated","shaded",31,"non_event"
142,155,136,"saturated","shaded",23,"non_event"
124,151,147,"saturated","shaded",27,"non_event"
157,162,134,"saturated","shaded",22,"non_event"
109,145,133,"saturated","shaded",25,"non_event"
137,140,163,"saturated","shaded",34,"non_event"
130,159,150,"saturated","shaded",24,"non_event"
176,165,130,"saturated","shaded",18,"non_event"
184,153,107,"saturated","shaded",14,"non_event"
180,149,164,"saturated","shaded",1,"non_event"
169,118,115,"saturated","shaded",4,"non_event"
173,125,118,"saturated","shaded",5,"non_event"
168,148,107,"saturated","shaded",15,"non_event"
174,153,107,"saturated","shaded",17,"non_event"
194,163,119,"saturated","subdued",13,"event"
99,132,150,"saturated","subdued",29,"non_event"
112,142,149,"saturated","subdued",28,"non_event"
177,113,90,"saturated","subdued",8,"non_event"
157,160,115,"saturated","subdued",21,"non_event"
145,175,136,"saturated","subdued",23,"non_event"
186,143,104,"saturated","subdued",11,"non_event"
93,132,177,"saturated","subdued",32,"non_event"
122,150,130,"saturated","subdued",24,"non_event"
193,168,124,"saturated","subdued",15,"non_event"
160,166,103,"saturated","subdued",20,"non_event"
201,147,135,"saturated","subdued",6,"non_event"
193,137,120,"saturated","subdued",7,"non_event"
181,119,112,"saturated","subdued",4,"non_event"
207,185,137,"saturated","subdued",16,"non_event"
209,184,113,"saturated","subdued",17,"non_event"
142,144,180,"saturated","subdued",34,"non_event"
175,142,165,"saturated","subdued",36,"non_event"
243,223,182,"soft","bright",14,"event"
245,222,174,"soft","bright",15,"non_event"
191,223,223,"soft","bright",27,"non_event"
247,234,185,"soft","bright",17,"non_event"
163,188,219,"soft","bright",32,"non_event"
196,221,226,"soft","bright",28,"non_event"
242,198,167,"soft","bright",10,"non_event"
240,231,169,"soft","bright",18,"non_event"
239,205,180,"soft","bright",11,"non_event"
225,221,142,"soft","bright",19,"non_event"
236,191,201,"soft","bright",2,"non_event"
239,196,187,"soft","bright",6,"non_event"
219,215,228,"soft","bright",34,"non_event"
162,212,189,"soft","bright",24,"non_event"
243,200,194,"soft","bright",5,"non_event"
237,199,182,"soft","bright",8,"non_event"
242,193,192,"soft","bright",4,"non_event"
232,210,227,"soft","bright",36,"non_event"
209,204,194,"soft","gray",14,"event"
188,183,173,"soft","gray",10,"event"
189,176,160,"soft","gray",7,"event"
206,193,181,"soft","gray",6,"event"
195,199,189,"soft","gray",21,"event"
160,183,186,"soft","gray",28,"event"
165,178,183,"soft","gray",29,"event"
216,222,227,"soft","gray",32,"event"
177,183,161,"soft","gray",20,"event"
224,221,221,"soft","gray",1,"event"
166,168,151,"soft","gray",19,"event"
174,171,154,"soft","gray",18,"event"
188,219,219,"soft","muted",27,"event"
180,208,217,"soft","muted",29,"non_event"
231,210,173,"soft","muted",14,"non_event"
239,215,179,"soft","muted",13,"non_event"
229,195,130,"soft","muted",16,"non_event"
211,208,221,"soft","muted",34,"non_event"
237,225,168,"soft","muted",17,"non_event"
212,224,146,"soft","muted",20,"non_event"
216,230,203,"soft","muted",22,"non_event"
161,205,191,"soft","muted",25,"non_event"
200,223,195,"soft","muted",23,"non_event"
231,195,172,"soft","muted",9,"non_event"
225,185,194,"soft","muted",2,"non_event"
203,208,221,"soft","muted",33,"non_event"
242,209,196,"soft","muted",6,"non_event"
229,207,222,"soft","muted",36,"non_event"
210,200,128,"soft","muted",19,"non_event"
230,193,187,"soft","muted",4,"non_event"
218,207,186,"soft","neutral",13,"event"
220,204,180,"soft","neutral",12,"event"
222,207,179,"soft","neutral",14,"event"
196,174,150,"soft","neutral",10,"event"
227,206,184,"soft","neutral",11,"event"
200,202,181,"soft","neutral",20,"non_event"
222,223,226,"soft","neutral",34,"non_event"
197,193,163,"soft","neutral",19,"non_event"
213,225,224,"soft","neutral",28,"non_event"
213,227,222,"soft","neutral",26,"non_event"
227,209,200,"soft","neutral",7,"non_event"
190,179,148,"soft","neutral",18,"non_event"
214,229,226,"soft","neutral",27,"non_event"
214,196,193,"soft","neutral",2,"non_event"
205,220,227,"soft","neutral",30,"non_event"
220,199,192,"soft","neutral",6,"non_event"
222,202,197,"soft","neutral",5,"non_event"
216,194,202,"soft","neutral",1,"non_event"
174,215,234,"soft","pure",29,"event"
195,231,232,"soft","pure",27,"event"
155,199,234,"soft","pure",31,"event"
249,236,182,"soft","pure",15,"event"
244,200,213,"soft","pure",1,"non_event"
249,231,191,"soft","pure",12,"non_event"
171,202,234,"soft","pure",32,"non_event"
247,236,202,"soft","pure",14,"non_event"
246,216,190,"soft","pure",10,"non_event"
245,179,188,"soft","pure",2,"non_event"
244,222,191,"soft","pure",11,"non_event"
205,234,205,"soft","pure",23,"non_event"
227,223,236,"soft","pure",34,"non_event"
247,194,191,"soft","pure",4,"non_event"
246,181,182,"soft","pure",3,"non_event"
233,237,189,"soft","pure",18,"non_event"
228,239,222,"soft","pure",22,"non_event"
247,223,215,"soft","pure",6,"non_event"
215,224,226,"soft","shaded",29,"event"
190,207,205,"soft","shaded",27,"event"
218,203,191,"soft","shaded",9,"event"
220,202,168,"soft","shaded",13,"event"
216,203,173,"soft","shaded",16,"event"
175,199,191,"soft","shaded",25,"non_event"
208,204,169,"soft","shaded",19,"non_event"
182,195,209,"soft","shaded",32,"non_event"
205,212,198,"soft","shaded",23,"non_event"
202,218,218,"soft","shaded",28,"non_event"
221,221,204,"soft","shaded",22,"non_event"
219,220,196,"soft","shaded",20,"non_event"
213,191,180,"soft","shaded",8,"non_event"
220,236,231,"soft","shaded",24,"non_event"
226,201,206,"soft","shaded",2,"non_event"
227,203,192,"soft","shaded",6,"non_event"
219,204,211,"soft","shaded",1,"non_event"
227,206,198,"soft","shaded",7,"non_event"
229,211,185,"soft","subdued",13,"event"
194,211,214,"soft","subdued",28,"event"
168,192,206,"soft","subdued",29,"event"
216,182,145,"soft","subdued",11,"non_event"
234,216,193,"soft","subdued",12,"non_event"
219,184,129,"soft","subdued",14,"non_event"
231,213,173,"soft","subdued",16,"non_event"
208,198,161,"soft","subdued",18,"non_event"
174,208,201,"soft","subdued",26,"non_event"
189,208,195,"soft","subdued",24,"non_event"
231,202,195,"soft","subdued",5,"non_event"
217,188,183,"soft","subdued",4,"non_event"
199,204,216,"soft","subdued",33,"non_event"
214,184,189,"soft","subdued",2,"non_event"
226,199,182,"soft","subdued",9,"non_event"
241,211,202,"soft","subdued",7,"non_event"
227,208,213,"soft","subdued",1,"non_event"
233,207,200,"soft","subdued",6,"non_event"
