R,G,B,Lightness,Saturation,Hue,response,outcome
211,208,221,soft,muted,34,64,0
237,225,168,soft,muted,17,71,0
212,224,146,soft,muted,20,68,0
216,230,203,soft,muted,22,74,0
161,205,191,soft,muted,25,55,0
200,223,195,soft,muted,23,68,0
231,195,172,soft,muted,9,58,0
225,185,194,soft,muted,2,54,0
203,208,221,soft,muted,33,63,0
242,209,196,soft,muted,6,67,0
229,207,222,soft,muted,36,66,0
210,200,128,soft,muted,19,56,0
230,193,187,soft,muted,4,58,0
218,207,186,soft,neutral,13,61,1
220,204,180,soft,neutral,12,61,1
222,207,179,soft,neutral,14,62,1
196,174,150,soft,neutral,10,44,1
227,206,184,soft,neutral,11,63,1
200,202,181,soft,neutral,20,57,0
222,223,226,soft,neutral,34,74,0
197,193,163,soft,neutral,19,51,0
213,225,224,soft,neutral,28,73,0
213,227,222,soft,neutral,26,73,0
227,209,200,soft,neutral,7,66,0
190,179,148,soft,neutral,18,45,0
214,229,226,soft,neutral,27,76,0
214,196,193,soft,neutral,2,58,0
205,220,227,soft,neutral,30,71,0
220,199,192,soft,neutral,6,60,0
222,202,197,soft,neutral,5,61,0
216,194,202,soft,neutral,1,58,0
174,215,234,soft,pure,29,65,1
195,231,232,soft,pure,27,75,1
155,199,234,soft,pure,31,55,1
249,236,182,soft,pure,15,81,1
244,200,213,soft,pure,1,65,0
249,231,191,soft,pure,12,79,0
171,202,234,soft,pure,32,59,0
247,236,202,soft,pure,14,82,0
246,216,190,soft,pure,10,71,0
245,179,188,soft,pure,2,55,0
244,222,191,soft,pure,11,74,0
205,234,205,soft,pure,23,75,0
227,223,236,soft,pure,34,75,0
247,194,191,soft,pure,4,61,0
246,181,182,soft,pure,3,55,0
233,237,189,soft,pure,18,79,0
228,239,222,soft,pure,22,83,0
247,223,215,soft,pure,6,76,0
215,224,226,soft,shaded,29,73,1
190,207,205,soft,shaded,27,63,1
218,203,191,soft,shaded,9,61,1
220,202,168,soft,shaded,13,59,1
216,203,173,soft,shaded,16,59,1
175,199,191,soft,shaded,25,53,0
208,204,169,soft,shaded,19,58,0
182,195,209,soft,shaded,32,54,0
205,212,198,soft,shaded,23,65,0
202,218,218,soft,shaded,28,68,0
221,221,204,soft,shaded,22,71,0
219,220,196,soft,shaded,20,70,0
213,191,180,soft,shaded,8,53,0
220,236,231,soft,shaded,24,81,0
226,201,206,soft,shaded,2,63,0
227,203,192,soft,shaded,6,63,0
219,204,211,soft,shaded,1,63,0
227,206,198,soft,shaded,7,64,0
229,211,185,soft,subdued,13,65,1
194,211,214,soft,subdued,28,63,1
168,192,206,soft,subdued,29,51,1
216,182,145,soft,subdued,11,49,0
234,216,193,soft,subdued,12,68,0
219,184,129,soft,subdued,14,50,0
231,213,173,soft,subdued,16,66,0
208,198,161,soft,subdued,18,54,0
174,208,201,soft,subdued,26,58,0
189,208,195,soft,subdued,24,59,0
231,202,195,soft,subdued,5,62,0
217,188,183,soft,subdued,4,53,0
199,204,216,soft,subdued,33,60,0
214,184,189,soft,subdued,2,52,0
226,199,182,soft,subdued,9,60,0
241,211,202,soft,subdued,7,69,0
227,208,213,soft,subdued,1,66,0
233,207,200,soft,subdued,6,65,0
